(1, 2, 1, 2, 2)	29.1
(1, 2, 2, 0, 0)	71.2
(1, 2, 2, 0, 1)	104.2
(1, 2, 2, 0, 2)	28.3
(1, 2, 2, 1, 0)	117.8
(1, 2, 2, 1, 1)	116.1
(1, 2, 2, 1, 2)	25.3
(1, 2, 2, 2, 0)	48.3
(1, 2, 2, 2, 1)	73.5
(1, 2, 2, 2, 2)	36.3
(2, 0, 0, 0, 0)	0.0
(2, 0, 0, 0, 1)	47.4
(2, 0, 0, 0, 2)	0.0
(2, 0, 0, 1, 0)	53.4
(2, 0, 0, 1, 1)	103.6
(2, 0, 0, 1, 2)	20.0
(2, 0, 0, 2, 0)	0.0
(2, 0, 0, 2, 1)	105.3
(2, 0, 0, 2, 2)	0.0
(2, 0, 1, 0, 0)	17.0
(2, 0, 1, 0, 1)	60.6
(2, 0, 1, 0, 2)	22.4
(2, 0, 1, 1, 0)	28.7
(2, 0, 1, 1, 1)	62.0
(2, 0, 1, 1, 2)	34.0
(2, 0, 1, 2, 0)	49.2
(2, 0, 1, 2, 1)	80.6
(2, 0, 1, 2, 2)	16.6
(2, 0, 2, 0, 0)	0.0
(2, 0, 2, 0, 1)	106.6
(2, 0, 2, 0, 2)	0.0
(2, 0, 2, 1, 0)	24.6
(2, 0, 2, 1, 1)	97.6
(2, 0, 2, 1, 2)	23.0
(2, 0, 2, 2, 0)	0.0
(2, 0, 2, 2, 1)	63.2
(2, 0, 2, 2, 2)	0.0
(2, 1, 0, 0, 0)	92.1
(2, 1, 0, 0, 1)	85.9
(2, 1, 0, 0, 2)	32.1
(2, 1, 0, 1, 0)	70.7
(2, 1, 0, 1, 1)	109.7
(2, 1, 0, 1, 2)	50.0
(2, 1, 0, 2, 0)	80.2
(2, 1, 0, 2, 1)	101.5
(2, 1, 0, 2, 2)	25.5
(2, 1, 1, 0, 0)	68.3
(2, 1, 1, 0, 1)	123.4
(2, 1, 1, 0, 2)	37.7
(2, 1, 1, 1, 0)	116.8
(2, 1, 1, 1, 1)	111.7
(2, 1, 1, 1, 2)	59.3
(2, 1, 1, 2, 0)	127.2
(2, 1, 1, 2, 1)	135.3
(2, 1, 1, 2, 2)	47.0
(2, 1, 2, 0, 0)	86.2
(2, 1, 2, 0, 1)	103.0
(2, 1, 2, 0, 2)	45.1
(2, 1, 2, 1, 0)	71.6
(2, 1, 2, 1, 1)	137.3
(2, 1, 2, 1, 2)	47.6
(2, 1, 2, 2, 0)	47.8
(2, 1, 2, 2, 1)	82.4
(2, 1, 2, 2, 2)	32.9
(2, 2, 0, 0, 0)	0.0
(2, 2, 0, 0, 1)	41.4
(2, 2, 0, 0, 2)	0.0
(2, 2, 0, 1, 0)	19.6
(2, 2, 0, 1, 1)	74.6
(2, 2, 0, 1, 2)	16.9
(2, 2, 0, 2, 0)	0.0
(2, 2, 0, 2, 1)	48.5
(2, 2, 0, 2, 2)	0.0
(2, 2, 1, 0, 0)	26.0
(2, 2, 1, 0, 1)	80.3
(2, 2, 1, 0, 2)	13.0
(2, 2, 1, 1, 0)	26.6
(2, 2, 1, 1, 1)	72.3
(2, 2, 1, 1, 2)	31.0
(2, 2, 1, 2, 0)	14.1
